unified_id;month;zipcode;city;host_type;bedrooms;bathrooms;guests;revenue;openness;occupancy;nightly rate;lead time;length stay;Street Name;Latitude;Longitude;Hot Tub;Pool
AIR40261289;2019-12;92315;Big Bear Lake;Professionals;3;2;6;2406;6;0.833333333;481.2;3.5;2.5;NULL_STREET;34.24111;-116.89318;1;0
AIR40263140;2019-12;92315;Big Bear Lake;Single Owners;4;3;10;0;1;0;;;;NULL_STREET;34.25433;-116.86816;1;0
AIR40263484;2019-12;92315;Big Bear Lake;Professionals;3;2;9;2175;6;0.5;725;3;3;NULL_STREET;34.2348;-116.85046;0;0
AIR40287280;2019-12;92314;Big Bear City;Professionals;3;2;8;1497;8;0.375;499;4;3;NULL_STREET;34.24543762;-116.839386;1;0
AIR40288023;2019-12;92315;Big Bear Lake;Single Owners;4;2;12;2550;9;0.333333333;850;3;1.5;NULL_STREET;34.24003;-116.88605;1;0
AIR40288939;2019-12;92315;Big Bear Lake;Professionals;3;2;7;5404;12;0.666666667;675.5;2.333333333;2.666666667;NULL_STREET;34.24102;-116.94555;1;0
AIR40291908;2019-12;92314;Big Bear City;Single Owners;3;2;8;358;3;0.333333333;358;1;1;NULL_STREET;34.24415;-116.85934;1;0
AIR40293677;2019-12;92315;Big Bear Lake;2-5 Units;3;2;8;0;5;0;;;;NULL_STREET;34.24149;-116.94475;0;0
AIR40298260;2019-12;92315;Big Bear Lake;Professionals;5;5;15+;0;2;0;;;;NULL_STREET;34.22715;-116.86257;1;0
AIR40309286;2019-12;92315;Big Bear Lake;Professionals;3;2;12;2518;5;0.4;1259;8;2;NULL_STREET;34.24284;-116.8837;1;0
AIR40309477;2019-12;92315;Big Bear Lake;Professionals;3;2.5;8;0;3;0;;;;NULL_STREET;34.24372;-116.89359;0;0
AIR40309849;2019-12;92315;Big Bear Lake;Professionals;3;1;8;2089;9;0.333333333;696.3333333;3;3;NULL_STREET;34.24402;-116.90724;1;0
AIR40310113;2019-12;92315;Big Bear Lake;Professionals;3;2;8;2731;12;0.333333333;682.75;1.333333333;1.333333333;NULL_STREET;34.23877;-116.940933;1;1
AIR40310134;2019-12;92315;Big Bear Lake;Professionals;3;3;9;1662;9;0.333333333;554;1;1.5;NULL_STREET;34.24585;-116.879242;0;0
AIR40355130;2019-12;92315;Big Bear Lake;2-5 Units;3;2.5;7;2288;10;0.7;326.8571429;3;1.75;NULL_STREET;34.24121;-116.94297;0;0
AIR40374221;2019-12;92315;Big Bear Lake;Professionals;3;2;9;0;1;0;;;;NULL_STREET;34.25006;-116.87018;1;0
AIR40375284;2019-12;92315;Big Bear Lake;Single Owners;3;2;6;195;4;0.25;195;1;1;NULL_STREET;34.24391;-116.92323;1;0
AIR40379955;2019-12;92314;Big Bear City;Single Owners;3;2.5;8;666;2;1;333;7;2;NULL_STREET;34.23818;-116.85758;0;0
AIR40381034;2019-12;92252;Joshua Tree;Single Owners;3;2;6;490;4;0.5;245;1;2;NULL_STREET;34.18029;-116.29988;1;0
AIR40396013;2019-12;92314;Big Bear City;Professionals;3;1.5;8;4190;14;0.5;598.5714286;2.5;3.5;NULL_STREET;34.24014;-116.82739;0;0
AIR40398144;2019-12;92315;Big Bear Lake;Professionals;4;2.5;13;4516;8;0.5;1129;1.5;2;NULL_STREET;34.240417;-116.884483;0;0
AIR40398165;2019-12;92314;Big Bear City;Professionals;5;3;12;2650;10;0.2;1325;1;2;NULL_STREET;34.243542;-116.862366;1;0
AIR40427491;2019-12;92314;Big Bear City;Single Owners;3;2;8;0;7;0;;;;NULL_STREET;34.26335;-116.81867;0;0
AIR40428322;2019-12;92314;Big Bear City;Professionals;3;2;6;750;12;0.083333333;750;9;1;NULL_STREET;34.27065;-116.84822;0;0
AIR40491565;2019-12;92315;Big Bear Lake;Single Owners;3;1;6;0;3;0;;;;NULL_STREET;34.24859;-116.93674;0;0
AIR40526108;2019-12;92315;Big Bear Lake;Single Owners;3;2;7;1247;6;0.5;415.6666667;2.5;1.5;NULL_STREET;34.24217;-116.92511;0;0
AIR40533812;2019-12;92284;Yucca Valley;Single Owners;3;2;6;644;11;0.545454545;107.3333333;2.333333333;2;NULL_STREET;34.11074;-116.41405;0;0
AIR40537021;2019-12;92315;Big Bear Lake;2-5 Units;5;4.5;15+;0;2;0;;;;NULL_STREET;34.23569;-116.85596;1;0
AIR40537192;2019-12;92314;Big Bear City;Professionals;3;2;8;0;14;0;;;;NULL_STREET;34.23616;-116.85269;1;0
AIR4054280;2019-1;92315;Big Bear Lake;2-5 Units;3;3;12;4939.47995;31;0.419354839;379.9599962;82;2.166666667;Lakewood Lane;34.24255;-116.92766;1;0
AIR40560611;2019-12;92252;Joshua Tree;2-5 Units;3;1.5;6;100;2;0.5;100;2;1;NULL_STREET;34.10894;-116.32883;0;0
AIR40561189;2019-12;92315;Big Bear Lake;Professionals;5;2.5;12;0;5;0;;;;NULL_STREET;34.24048;-116.94311;0;0
AIR40591073;2019-12;92314;Big Bear City;Single Owners;3;2.5;6;1187;3;1;395.6666667;2;3;NULL_STREET;34.23508;-116.80285;0;0
AIR40591599;2019-12;92314;Big Bear City;Professionals;3;2;6;1198;11;0.181818182;599;6;2;NULL_STREET;34.23491;-116.85078;0;0
AIR40591761;2019-12;92314;Big Bear City;Professionals;4;3.5;13;0;1;0;;;;NULL_STREET;34.23016;-116.84279;0;0
AIR40593329;2019-12;92315;Big Bear Lake;Professionals;3;3;9;1268;3;0.666666667;634;1.5;1.5;NULL_STREET;34.23983;-116.8955;1;0
